club_id,club_name,competition_id,competition_name,country_name,season,season_label,previous_season_label,matches_played,wins,draws,losses,points_earned,points_per_match,win_percentage,goals_scored,goals_conceded,goal_difference,goal_difference_per_match,points_per_match_change,win_percentage_change,goal_difference_per_match_change,performance_direction
276,Hellas Verona,IT1,serie-a,Italy,2023,2023-24,2022-23,38,9,11,18,38,1,23.68,38,51,-13,-0.342,0.18,5.26,0.395,Improvement
276,Hellas Verona,IT1,serie-a,Italy,2024,2024-25,2023-24,38,10,7,21,37,0.97,26.32,34,66,-32,-0.842,-0.03,2.64,-0.5,Decline
44,Hertha BSC,L1,bundesliga,Germany,2020,2020-21,,34,8,11,15,35,1.03,23.53,41,52,-11,-0.324,,,,No consecutive comparison
44,Hertha BSC,L1,bundesliga,Germany,2021,2021-22,2020-21,34,9,6,19,33,0.97,26.47,37,71,-34,-1,-0.06,2.94,-0.676,Decline
44,Hertha BSC,L1,bundesliga,Germany,2022,2022-23,2021-22,34,7,8,19,29,0.85,20.59,42,69,-27,-0.794,-0.12,-5.88,0.206,Decline
269,Holstein Kiel,L1,bundesliga,Germany,2024,2024-25,,34,6,7,21,25,0.74,17.65,49,80,-31,-0.912,,,,No consecutive comparison
46,Inter Milan,IT1,serie-a,Italy,2020,2020-21,,38,28,7,3,91,2.39,73.68,89,35,54,1.421,,,,No consecutive comparison
46,Inter Milan,IT1,serie-a,Italy,2021,2021-22,2020-21,38,25,9,4,84,2.21,65.79,84,32,52,1.368,-0.18,-7.89,-0.053,Decline
46,Inter Milan,IT1,serie-a,Italy,2022,2022-23,2021-22,38,23,3,12,72,1.89,60.53,71,42,29,0.763,-0.32,-5.26,-0.605,Decline
46,Inter Milan,IT1,serie-a,Italy,2023,2023-24,2022-23,38,29,7,2,94,2.47,76.32,89,22,67,1.763,0.58,15.79,1,Improvement
46,Inter Milan,IT1,serie-a,Italy,2024,2024-25,2023-24,38,24,9,5,81,2.13,63.16,79,35,44,1.158,-0.34,-13.16,-0.605,Decline
677,Ipswich Town,GB1,premier-league,England,2024,2024-25,,38,4,10,24,22,0.58,10.53,36,82,-46,-1.211,,,,No consecutive comparison
506,Juventus FC,IT1,serie-a,Italy,2020,2020-21,,38,23,9,6,78,2.05,60.53,77,38,39,1.026,,,,No consecutive comparison
506,Juventus FC,IT1,serie-a,Italy,2021,2021-22,2020-21,38,20,10,8,70,1.84,52.63,57,37,20,0.526,-0.21,-7.9,-0.5,Decline
506,Juventus FC,IT1,serie-a,Italy,2022,2022-23,2021-22,38,22,6,10,72,1.89,57.89,56,33,23,0.605,0.05,5.26,0.079,Improvement
506,Juventus FC,IT1,serie-a,Italy,2023,2023-24,2022-23,38,19,14,5,71,1.87,50,54,31,23,0.605,-0.02,-7.89,0,Decline
506,Juventus FC,IT1,serie-a,Italy,2024,2024-25,2023-24,38,18,16,4,70,1.84,47.37,58,35,23,0.605,-0.03,-2.63,0,Decline
738,Le Havre AC,FR1,ligue-1,France,2023,2023-24,,34,7,11,16,32,0.94,20.59,34,45,-11,-0.324,,,,No consecutive comparison
738,Le Havre AC,FR1,ligue-1,France,2024,2024-25,2023-24,34,10,4,20,34,1,29.41,40,71,-31,-0.912,0.06,8.82,-0.588,Improvement
399,Leeds United,GB1,premier-league,England,2020,2020-21,,38,18,5,15,59,1.55,47.37,62,54,8,0.211,,,,No consecutive comparison
399,Leeds United,GB1,premier-league,England,2021,2021-22,2020-21,38,9,11,18,38,1,23.68,42,79,-37,-0.974,-0.55,-23.69,-1.185,Decline
399,Leeds United,GB1,premier-league,England,2022,2022-23,2021-22,38,7,10,21,31,0.82,18.42,48,78,-30,-0.789,-0.18,-5.26,0.185,Decline
1003,Leicester City,GB1,premier-league,England,2020,2020-21,,38,20,6,12,66,1.74,52.63,68,50,18,0.474,,,,No consecutive comparison
1003,Leicester City,GB1,premier-league,England,2021,2021-22,2020-21,38,14,10,14,52,1.37,36.84,62,59,3,0.079,-0.37,-15.79,-0.395,Decline
1003,Leicester City,GB1,premier-league,England,2022,2022-23,2021-22,38,9,7,22,34,0.89,23.68,51,68,-17,-0.447,-0.48,-13.16,-0.526,Decline
1003,Leicester City,GB1,premier-league,England,2024,2024-25,2022-23,38,6,7,25,25,0.66,15.79,33,80,-47,-1.237,,,,No consecutive comparison
3368,Levante UD,ES1,laliga,Spain,2020,2020-21,,38,9,14,15,41,1.08,23.68,46,57,-11,-0.289,,,,No consecutive comparison
3368,Levante UD,ES1,laliga,Spain,2021,2021-22,2020-21,38,8,11,19,35,0.92,21.05,51,76,-25,-0.658,-0.16,-2.63,-0.369,Decline
31,Liverpool FC,GB1,premier-league,England,2020,2020-21,,38,20,9,9,69,1.82,52.63,68,42,26,0.684,,,,No consecutive comparison
31,Liverpool FC,GB1,premier-league,England,2021,2021-22,2020-21,38,28,8,2,92,2.42,73.68,94,26,68,1.789,0.6,21.05,1.105,Improvement
31,Liverpool FC,GB1,premier-league,England,2022,2022-23,2021-22,38,19,10,9,67,1.76,50,75,47,28,0.737,-0.66,-23.68,-1.052,Decline
31,Liverpool FC,GB1,premier-league,England,2023,2023-24,2022-23,38,24,10,4,82,2.16,63.16,86,41,45,1.184,0.4,13.16,0.447,Improvement
31,Liverpool FC,GB1,premier-league,England,2024,2024-25,2023-24,38,25,9,4,84,2.21,65.79,86,41,45,1.184,0.05,2.63,0,Improvement
1082,LOSC Lille,FR1,ligue-1,France,2020,2020-21,,38,24,11,3,83,2.18,63.16,64,23,41,1.079,,,,No consecutive comparison
1082,LOSC Lille,FR1,ligue-1,France,2021,2021-22,2020-21,38,14,13,11,55,1.45,36.84,48,48,0,0,-0.73,-26.32,-1.079,Decline
1082,LOSC Lille,FR1,ligue-1,France,2022,2022-23,2021-22,38,19,10,9,67,1.76,50,65,44,21,0.553,0.31,13.16,0.553,Improvement
