player_id,player_name,age,position,sub_position,club_name,competition_name,country_name,minutes_played,market_value_in_eur,value_percentile_within_position_age,current_performance_percentile,qualified_seasons,average_performance_percentile,performance_percentile_stddev,minimum_performance_percentile,total_qualified_minutes,yoy_performance_percentile_change,yoy_market_value_change_eur,consistency_profile,lower_risk_position_rank,lower_risk_overall_rank
27992,Luka Modrić,39,Midfield,Central Midfield,Real Madrid,laliga,Spain,1820,4000000,40,88.54,4,89.87,4.85,84.16,7297,-7.25,-2000000,Very stable,8,31
330659,Justin Kluivert,26,Midfield,Attacking Midfield,AFC Bournemouth,premier-league,England,2356,35000000,51.59,98.96,4,89.06,9.44,79.21,7619,19.75,21000000,Stable,9,32
187492,Julian Brandt,29,Midfield,Attacking Midfield,Borussia Dortmund,bundesliga,Germany,2319,25000000,64.18,93.42,5,88.89,12.3,67.07,10535,-3.25,-15000000,Stable,10,33
53622,İlkay Gündoğan,34,Midfield,Central Midfield,Manchester City,premier-league,England,2229,5000000,51.11,67.71,5,88.82,11.91,67.71,11472,-27.03,-10000000,Stable,11,34
127156,Téji Savanier,33,Midfield,Attacking Midfield,Montpellier HSC,ligue-1,France,2339,,77.78,69.14,5,88.79,11.83,69.14,12275,-28.61,,Stable,12,35
93720,Alexandre Lacazette,34,Attack,Centre-Forward,Olympique Lyon,ligue-1,France,2061,6000000,58.33,87.5,5,88.01,9.46,72.73,11017,-8.09,-3000000,Stable,8,36
789082,Vanderson,24,Defender,Right-Back,AS Monaco,ligue-1,France,2073,20000000,45.73,80.56,4,87.91,4.98,80.56,7063,-9.71,0,Very stable,16,37
205938,Mario Pašalić,30,Midfield,Central Midfield,Atalanta BC,serie-a,Italy,1970,10000000,45.52,73.64,5,87.46,11.49,73.64,8920,-18.4,-3000000,Stable,13,38
708265,Bradley Barcola,22,Attack,Left Winger,Paris Saint-Germain,ligue-1,France,2193,70000000,69.33,94.44,3,86.37,11.24,73.53,5277,20.91,20000000,Stable,9,39
314398,Jae-sung Lee,32,Midfield,Attacking Midfield,1.FSV Mainz 05,bundesliga,Germany,2666,2500000,33.33,88.16,4,86.27,3.47,81.11,8147,7.05,0,Very stable,14,40
288225,Ludovic Blas,27,Midfield,Right Midfield,Stade Rennais FC,ligue-1,France,2302,18000000,38.22,97.53,5,86.24,8.2,75.28,12463,22.25,3000000,Stable,15,41
654539,Adrien Truffert,23,Defender,Left-Back,Stade Rennais FC,ligue-1,France,2756,15000000,40.22,68.52,5,86.18,12.03,68.52,10456,-10.24,-3000000,Stable,17,42
392765,Emile Smith Rowe,24,Midfield,Attacking Midfield,Fulham FC,premier-league,England,2060,30000000,49.68,79.17,3,85.58,6.66,79.17,5429,,,Very stable,16,43
316264,Martin Ødegaard,26,Midfield,Attacking Midfield,Arsenal FC,premier-league,England,2332,85000000,66.24,85.42,5,85.44,9.81,71.28,12477,-6.66,-25000000,Stable,17,44
502670,Khvicha Kvaratskhelia,24,Attack,Left Winger,SSC Napoli,serie-a,Italy,2107,90000000,65.45,81.08,3,85.18,6.04,81.08,7399,-1.27,10000000,Very stable,10,45
369684,Rasmus Nissen Kristensen,27,Defender,Right-Back,Eintracht Frankfurt,bundesliga,Germany,2516,14000000,37.61,89.09,3,85.12,8.32,75.56,6220,13.53,4000000,Stable,18,46
429014,Morgan Gibbs-White,25,Midfield,Attacking Midfield,Nottingham Forest,premier-league,England,2824,50000000,58.6,91.67,3,84.95,6.83,78.02,9145,6.52,10000000,Very stable,18,47
255901,Rodrigo De Paul,31,Midfield,Central Midfield,Atlético de Madrid,laliga,Spain,2112,25000000,64.18,87.5,5,84.79,10.13,67,11490,0.13,-5000000,Stable,19,48
169880,Giovanni Di Lorenzo,31,Defender,Right-Back,SSC Napoli,serie-a,Italy,3330,12000000,52.35,79.7,5,84.51,4.51,79.7,15935,-5.49,-3000000,Very stable,19,49
278359,Borja Iglesias,32,Attack,Centre-Forward,Celta de Vigo,laliga,Spain,1964,,83.33,87.63,4,84.46,8.88,71.26,7327,,,Stable,11,50
