player_id,player_name,position,sub_position,country_of_citizenship,age_at_season_end,previous_season_label,current_season_label,previous_clubs,current_clubs,previous_minutes_played,current_minutes_played,minutes_change,previous_goal_contributions_per_90,current_goal_contributions_per_90,goal_contributions_per_90_change,previous_ending_market_value_eur,current_ending_market_value_eur,market_value_change_eur,market_value_percentage_change,value_and_performance_growth_rank
434224,Maxence Lacroix,Defender,Centre-Back,France,24,2022-23,2023-24,VfL Wolfsburg,VfL Wolfsburg,1626,2365,739,0.055,0.19,0.135,17000000,20000000,3000000,17.65,458
724520,Abde Ezzalzouli,Attack,Left Winger,Morocco,23,2023-24,2024-25,"FC Barcelona, Real Betis Balompié",Real Betis Balompié,921,1995,1074,0.098,0.226,0.128,9000000,12000000,3000000,33.33,459
376514,Mathías Olivera,Defender,Left-Back,Uruguay,24,2020-21,2021-22,Getafe CF,Getafe CF,2619,2807,188,0,0.128,0.128,12000000,15000000,3000000,25,459
263918,Aleksandr Golovin,Midfield,Attacking Midfield,Russia,27,2021-22,2022-23,AS Monaco,AS Monaco,1507,2483,976,0.418,0.544,0.126,25000000,28000000,3000000,12,460
303219,Jeff Chabot,Defender,Centre-Back,Germany,27,2023-24,2024-25,1.FC Köln,VfB Stuttgart,2707,2274,-433,0.033,0.158,0.125,9000000,12000000,3000000,33.33,461
290532,Saïd Benrahma,Attack,Left Winger,Algeria,26,2020-21,2021-22,West Ham United,West Ham United,1388,2184,796,0.454,0.577,0.123,22000000,25000000,3000000,13.64,462
425334,Matty Cash,Defender,Right-Back,Poland,26,2022-23,2023-24,Aston Villa,Aston Villa,1821,2143,322,0.049,0.168,0.119,25000000,28000000,3000000,12,463
202278,Flavien Tait,Midfield,Central Midfield,France,29,2020-21,2021-22,Stade Rennais FC,Stade Rennais FC,1370,2131,761,0.263,0.38,0.117,5000000,8000000,3000000,60,464
196357,Jonathan Tah,Defender,Centre-Back,Germany,26,2020-21,2021-22,Bayer 04 Leverkusen,Bayer 04 Leverkusen,2219,2882,663,0.041,0.156,0.115,22000000,25000000,3000000,13.64,465
283735,Mattia Zaccagni,Attack,Left Winger,Italy,27,2020-21,2021-22,Hellas Verona,"Hellas Verona, Società Sportiva Lazio S.p.A.",2630,2058,-572,0.411,0.525,0.114,15000000,18000000,3000000,20,466
